iter	Passed	Remaining
0	196	196384
1	199	99372
2	201	66959
3	203	50625
4	205	40847
5	207	34306
6	209	29668
7	210	26160
8	212	23446
9	214	21259
10	216	19464
11	218	17973
12	219	16660
13	220	15545
14	222	14585
15	223	13729
16	224	12970
17	225	12300
18	226	11695
19	227	11150
20	228	10658
21	229	10211
22	230	9803
23	231	9426
24	232	9081
25	233	8762
26	235	8472
27	236	8202
28	237	7947
29	238	7710
30	239	7487
31	240	7276
32	241	7079
33	242	6897
34	243	6722
35	244	6557
36	245	6400
37	246	6252
38	248	6112
39	249	5984
40	251	5871
41	252	5759
42	253	5643
43	254	5532
44	255	5426
45	256	5325
46	257	5227
47	258	5133
48	259	5045
49	261	4968
50	262	4890
51	263	4810
52	264	4733
53	266	4661
54	267	4590
55	268	4520
56	269	4453
57	270	4388
58	271	4325
59	272	4264
60	273	4205
61	274	4148
62	275	4093
63	276	4044
64	277	3992
65	278	3942
66	279	3892
67	280	3845
68	281	3798
69	282	3753
70	283	3709
71	284	3667
72	285	3625
73	286	3585
74	287	3546
75	288	3507
76	289	3470
77	291	3441
78	292	3407
79	293	3372
80	294	3338
81	295	3305
82	296	3273
83	297	3241
84	298	3210
85	299	3180
86	300	3151
87	301	3122
88	302	3094
89	303	3066
90	304	3043
91	305	3020
92	307	2994
93	308	2968
94	309	2943
95	310	2919
96	311	2895
97	312	2871
98	313	2848
99	314	2826
100	315	2803
101	316	2782
102	317	2760
103	318	2741
104	319	2723
105	321	2707
106	322	2688
107	323	2668
108	324	2649
109	325	2630
110	326	2611
111	327	2593
112	328	2575
113	329	2557
114	330	2539
115	331	2522
116	332	2506
117	333	2490
118	334	2475
119	335	2459
120	335	2440
121	336	2425
122	338	2410
123	339	2395
124	340	2380
125	341	2365
126	342	2351
127	343	2336
128	344	2322
129	345	2309
130	346	2298
131	347	2285
132	348	2274
133	349	2261
134	350	2248
135	352	2236
136	353	2223
137	354	2211
138	355	2199
139	356	2187
140	357	2175
141	358	2163
142	359	2152
143	360	2140
144	361	2129
145	362	2118
146	363	2110
147	364	2099
148	365	2088
149	366	2078
150	367	2067
151	368	2057
152	369	2047
153	370	2036
154	371	2027
155	372	2017
156	374	2010
157	375	2001
158	376	1992
159	378	1986
160	379	1979
161	380	1970
162	382	1963
163	383	1956
164	385	1949
165	386	1942
166	387	1935
167	389	1927
168	390	1921
169	392	1915
170	393	1908
171	394	1900
172	396	1893
173	397	1885
174	398	1877
175	399	1869
176	400	1861
177	401	1855
178	403	1848
179	404	1842
180	406	1837
181	407	1831
182	409	1826
183	410	1820
184	412	1815
185	413	1809
186	414	1802
187	415	1796
188	417	1789
189	418	1783
190	420	1781
191	422	1776
192	423	1770
193	424	1765
194	426	1760
195	427	1755
196	429	1750
197	430	1744
198	432	1738
199	433	1735
200	435	1731
201	437	1726
202	438	1721
203	439	1715
204	440	1709
205	442	1704
206	443	1698
207	444	1692
208	445	1686
209	447	1681
210	448	1676
211	449	1671
212	450	1665
213	451	1659
214	453	1654
215	454	1648
216	455	1643
217	456	1637
218	457	1632
219	458	1626
220	459	1620
221	461	1616
222	462	1612
223	463	1607
224	490	1689
225	497	1704
226	500	1704
227	504	1707
228	506	1706
229	509	1704
230	511	1702
231	514	1703
232	517	1704
233	520	1703
234	522	1701
235	528	1710
236	530	1708
237	533	1707
238	535	1705
239	537	1703
240	540	1701
241	543	1700
242	545	1699
243	547	1697
244	550	1695
245	552	1693
246	553	1688
247	555	1684
248	556	1679
249	558	1674
250	559	1669
251	560	1664
252	562	1659
253	563	1654
254	564	1649
255	565	1643
256	566	1638
257	568	1633
258	570	1632
259	572	1628
260	573	1624
261	591	1665
262	593	1664
263	595	1660
264	597	1657
265	599	1655
266	601	1651
267	602	1646
268	604	1641
269	605	1636
270	606	1630
271	607	1625
272	608	1619
273	609	1614
274	610	1609
275	611	1603
276	612	1598
277	613	1593
278	614	1589
279	615	1583
280	616	1578
281	617	1573
282	618	1568
283	619	1562
284	620	1557
285	621	1552
286	623	1548
287	624	1543
288	625	1538
289	626	1533
290	627	1528
291	628	1523
292	629	1519
293	630	1514
294	631	1509
295	632	1504
296	633	1499
297	634	1495
298	635	1490
299	636	1485
300	637	1480
301	638	1476
302	639	1471
303	640	1466
304	641	1462
305	642	1457
306	643	1453
307	645	1449
308	646	1444
309	647	1440
310	648	1435
311	649	1431
312	650	1426
313	651	1422
314	652	1418
315	653	1413
316	654	1409
317	655	1405
318	656	1401
319	657	1396
320	658	1393
321	659	1388
322	660	1384
323	661	1380
324	662	1376
325	663	1371
326	664	1367
327	665	1363
328	666	1359
329	667	1355
330	668	1351
331	669	1347
332	670	1343
333	671	1339
334	672	1335
335	673	1331
336	674	1327
337	675	1323
338	676	1320
339	678	1316
340	678	1312
341	679	1308
342	680	1304
343	681	1300
344	682	1296
345	684	1293
346	685	1289
347	686	1285
348	687	1282
349	688	1278
350	689	1274
351	690	1270
352	691	1267
353	692	1263
354	693	1259
355	694	1256
356	695	1252
357	696	1248
358	697	1245
359	698	1241
360	699	1238
361	700	1234
362	701	1231
363	702	1228
364	703	1224
365	704	1220
366	705	1217
367	706	1213
368	707	1210
369	708	1206
370	709	1203
371	710	1199
372	711	1196
373	712	1193
374	714	1190
375	715	1186
376	716	1183
377	717	1180
378	718	1176
379	719	1173
380	720	1170
381	721	1166
382	722	1163
383	723	1160
384	724	1157
385	725	1153
386	726	1150
387	727	1147
388	728	1144
389	729	1140
390	730	1137
391	731	1134
392	732	1131
393	733	1128
394	734	1125
395	735	1122
396	736	1118
397	737	1115
398	738	1112
399	740	1110
400	741	1107
401	742	1105
402	744	1102
403	745	1100
404	747	1097
405	748	1094
406	749	1092
407	750	1089
408	751	1086
409	752	1083
410	753	1080
411	754	1077
412	755	1074
413	756	1071
414	757	1068
415	758	1065
416	760	1062
417	761	1059
418	762	1056
419	763	1053
420	764	1050
421	765	1048
422	766	1045
423	767	1042
424	768	1039
425	769	1036
426	770	1033
427	771	1030
428	772	1027
429	773	1024
430	774	1022
431	775	1019
432	776	1016
433	777	1013
434	778	1010
435	779	1008
436	780	1005
437	781	1002
438	782	1000
439	783	997
440	784	994
441	785	991
442	786	988
443	787	986
444	788	983
445	789	981
446	790	978
447	791	975
448	792	973
449	793	970
450	795	967
451	796	965
452	797	962
453	798	960
454	799	957
455	800	954
456	801	952
457	802	949
458	803	947
459	805	945
460	806	942
461	806	939
462	808	937
463	808	934
464	809	931
465	810	929
466	811	926
467	812	924
468	813	921
469	814	918
470	816	916
471	817	914
472	818	912
473	819	909
474	820	907
475	821	904
476	822	902
477	823	899
478	824	897
479	825	894
480	826	892
481	827	889
482	828	887
483	829	884
484	830	882
485	832	879
486	833	877
487	834	875
488	835	872
489	836	870
490	837	867
491	838	865
492	839	863
493	840	860
494	841	858
495	842	855
496	843	853
497	844	850
498	845	848
499	846	846
500	847	844
501	848	841
502	849	839
503	850	837
504	851	834
505	852	832
506	853	829
507	854	827
508	855	825
509	856	822
510	857	820
511	858	818
512	859	816
513	860	813
514	862	811
515	863	809
516	864	807
517	865	804
518	866	802
519	867	800
520	868	798
521	869	795
522	870	793
523	871	791
524	872	789
525	873	787
526	874	785
527	876	783
528	877	781
529	878	778
530	879	776
531	880	774
532	881	772
533	882	769
534	883	767
535	884	765
536	885	763
537	886	761
538	887	759
539	888	757
540	890	755
541	891	753
542	892	751
543	894	749
544	895	747
545	896	745
546	897	743
547	898	741
548	899	739
549	900	737
550	901	734
551	902	732
552	904	731
553	906	729
554	907	727
555	908	725
556	910	723
557	911	721
558	912	719
559	913	717
560	914	715
561	915	713
562	916	711
563	917	709
564	918	707
565	920	705
566	921	703
567	922	701
568	923	699
569	924	697
570	925	695
571	926	693
572	927	691
573	928	689
574	929	687
575	930	685
576	931	683
577	933	681
578	934	679
579	936	677
580	937	675
581	938	674
582	939	671
583	940	669
584	941	667
585	942	665
586	943	663
587	944	661
588	945	659
589	946	657
590	948	656
591	949	654
592	950	652
593	951	650
594	952	648
595	953	646
596	954	644
597	955	642
598	956	640
599	957	638
600	959	636
601	960	634
602	961	632
603	962	631
604	964	629
605	965	627
606	966	625
607	967	623
608	968	621
609	969	619
610	970	617
611	971	615
612	972	614
613	973	612
614	974	610
615	975	608
616	977	606
617	978	604
618	979	602
619	980	601
620	981	599
621	982	597
622	983	595
623	984	593
624	986	591
625	987	589
626	988	587
627	989	585
628	990	584
629	991	582
630	993	580
631	994	579
632	995	577
633	996	575
634	997	573
635	998	571
636	999	569
637	1000	567
638	1001	566
639	1002	564
640	1003	562
641	1005	560
642	1006	558
643	1008	557
644	1009	555
645	1010	553
646	1011	552
647	1012	550
648	1013	548
649	1014	546
650	1015	544
651	1016	542
652	1017	540
653	1019	539
654	1020	537
655	1022	536
656	1023	534
657	1024	532
658	1025	530
659	1026	528
660	1027	527
661	1028	525
662	1029	523
663	1030	521
664	1031	519
665	1032	517
666	1034	516
667	1035	514
668	1036	512
669	1037	511
670	1039	509
671	1040	507
672	1041	505
673	1042	504
674	1043	502
675	1044	500
676	1045	498
677	1046	496
678	1048	495
679	1050	494
680	1051	492
681	1052	490
682	1053	488
683	1054	487
684	1055	485
685	1056	483
686	1057	481
687	1058	480
688	1059	478
689	1060	476
690	1062	474
691	1063	473
692	1064	471
693	1065	469
694	1067	468
695	1068	466
696	1069	464
697	1070	463
698	1071	461
699	1072	459
700	1073	457
701	1074	456
702	1075	454
703	1077	452
704	1078	451
705	1079	449
706	1081	448
707	1082	446
708	1083	444
709	1084	442
710	1085	441
711	1086	439
712	1087	437
713	1088	436
714	1089	434
715	1091	432
716	1092	431
717	1093	429
718	1094	427
719	1096	426
720	1097	424
721	1098	422
722	1099	421
723	1100	419
724	1101	417
725	1103	416
726	1105	415
727	1107	413
728	1108	412
729	1110	410
730	1111	409
731	1113	407
732	1114	405
733	1115	404
734	1116	402
735	1117	400
736	1118	399
737	1120	397
738	1121	396
739	1122	394
740	1123	392
741	1125	391
742	1126	389
743	1127	387
744	1128	386
745	1129	384
746	1130	382
747	1131	381
748	1131	379
749	1132	377
750	1134	376
751	1136	374
752	1137	373
753	1138	371
754	1139	369
755	1140	368
756	1141	366
757	1142	364
758	1143	363
759	1144	361
760	1145	359
761	1146	358
762	1148	356
763	1149	355
764	1150	353
765	1152	351
766	1153	350
767	1154	348
768	1155	347
769	1156	345
770	1157	343
771	1158	342
772	1159	340
773	1160	338
774	1161	337
775	1163	335
776	1164	334
777	1165	332
778	1166	331
779	1168	329
780	1169	327
781	1170	326
782	1171	324
783	1172	323
784	1173	321
785	1174	319
786	1175	318
787	1176	316
788	1178	315
789	1179	313
790	1180	311
791	1181	310
792	1182	308
793	1183	307
794	1184	305
795	1185	303
796	1186	302
797	1188	300
798	1189	299
799	1190	297
800	1192	296
801	1193	294
802	1194	293
803	1195	291
804	1197	289
805	1198	288
806	1199	286
807	1200	285
808	1201	283
809	1202	282
810	1203	280
811	1204	278
812	1206	277
813	1207	275
814	1208	274
815	1209	272
816	1211	271
817	1212	269
818	1213	268
819	1214	266
820	1215	264
821	1216	263
822	1217	261
823	1218	260
824	1219	258
825	1221	257
826	1222	255
827	1223	254
828	1224	252
829	1225	251
830	1226	249
831	1228	247
832	1229	246
833	1230	244
834	1231	243
835	1232	241
836	1233	240
837	1235	238
838	1236	237
839	1237	235
840	1239	234
841	1240	232
842	1241	231
843	1242	229
844	1243	228
845	1244	226
846	1245	224
847	1246	223
848	1247	221
849	1248	220
850	1250	218
851	1251	217
852	1252	215
853	1253	214
854	1254	212
855	1255	211
856	1256	209
857	1257	208
858	1258	206
859	1259	205
860	1260	203
861	1261	201
862	1263	200
863	1266	199
864	1268	197
865	1269	196
866	1271	194
867	1272	193
868	1273	192
869	1274	190
870	1276	188
871	1277	187
872	1279	186
873	1280	184
874	1281	183
875	1282	181
876	1283	180
877	1284	178
878	1285	177
879	1286	175
880	1287	173
881	1288	172
882	1290	170
883	1291	169
884	1293	168
885	1294	166
886	1295	165
887	1296	163
888	1297	162
889	1298	160
890	1299	158
891	1300	157
892	1301	155
893	1302	154
894	1303	152
895	1304	151
896	1306	150
897	1308	148
898	1309	147
899	1310	145
900	1311	144
901	1312	142
902	1313	141
903	1314	139
904	1315	138
905	1316	136
906	1317	135
907	1318	133
908	1320	132
909	1322	130
910	1323	129
911	1324	127
912	1325	126
913	1326	124
914	1327	123
915	1328	121
916	1329	120
917	1330	118
918	1331	117
919	1332	115
920	1333	114
921	1335	113
922	1337	111
923	1338	110
924	1339	108
925	1340	107
926	1341	105
927	1342	104
928	1343	102
929	1345	101
930	1346	99
931	1347	98
932	1348	96
933	1349	95
934	1351	93
935	1352	92
936	1353	91
937	1354	89
938	1355	88
939	1356	86
940	1357	85
941	1358	83
942	1359	82
943	1360	80
944	1361	79
945	1362	77
946	1365	76
947	1366	74
948	1367	73
949	1368	72
950	1369	70
951	1370	69
952	1371	67
953	1372	66
954	1373	64
955	1374	63
956	1375	61
957	1377	60
958	1378	58
959	1380	57
960	1381	56
961	1382	54
962	1383	53
963	1384	51
964	1385	50
965	1386	48
966	1387	47
967	1388	45
968	1389	44
969	1390	43
970	1391	41
971	1394	40
972	1395	38
973	1396	37
974	1397	35
975	1398	34
976	1399	32
977	1400	31
978	1401	30
979	1402	28
980	1403	27
981	1404	25
982	1405	24
983	1406	22
984	1408	21
985	1410	20
986	1411	18
987	1412	17
988	1413	15
989	1414	14
990	1415	12
991	1416	11
992	1417	9
993	1418	8
994	1419	7
995	1421	5
996	1423	4
997	1424	2
998	1425	1
999	1426	0
